epoch,accuracy,dice_coef,iou_thresholded,loss,lr,val_accuracy,val_dice_coef,val_iou_thresholded,val_loss
0,0.9091347455978394,0.3034135699272156,0.2934667766094208,0.1409825086593628,0.001,0.9410723447799683,0.34986528754234314,0.39487525820732117,0.14893540740013123
1,0.90863436460495,0.36689528822898865,0.36613884568214417,0.12402383983135223,0.001,0.9341397285461426,0.35259565711021423,0.3853730261325836,0.1517840027809143
2,0.9073721766471863,0.377547025680542,0.376077800989151,0.12184851616621017,0.001,0.9478667378425598,0.4476624131202698,0.48220959305763245,0.1266804039478302
3,0.9082862734794617,0.3946542739868164,0.39121875166893005,0.11691942811012268,0.001,0.9455113410949707,0.43491894006729126,0.47932717204093933,0.134371817111969
4,0.9081147313117981,0.4036302864551544,0.40139439702033997,0.114485964179039,0.001,0.9498385787010193,0.4740656018257141,0.4712520241737366,0.1380407214164734
5,0.9069290161132812,0.40886634588241577,0.4028759300708771,0.11445644497871399,0.001,0.9543639421463013,0.5107532143592834,0.514927864074707,0.11568910628557205
6,0.9069743752479553,0.41274115443229675,0.4058987498283386,0.11356929689645767,0.001,0.9497717022895813,0.4629020690917969,0.5149356126785278,0.11865632236003876
7,0.9079795479774475,0.4324493408203125,0.42523878812789917,0.10716010630130768,0.0002,0.9554744958877563,0.5165325403213501,0.5335323810577393,0.1107252985239029
8,0.9069423675537109,0.43388664722442627,0.42511942982673645,0.10749503970146179,0.0002,0.9563087821006775,0.5242300033569336,0.5404725074768066,0.10765160620212555
9,0.9070467352867126,0.44242629408836365,0.4320757985115051,0.10660094767808914,0.0002,0.9554802775382996,0.5116682052612305,0.5385671854019165,0.10938049852848053
10,0.9075211882591248,0.44045430421829224,0.43057548999786377,0.10515256226062775,0.0002,0.9552761316299438,0.5139015913009644,0.5334720611572266,0.11257868260145187
11,0.9075826406478882,0.44007161259651184,0.4304267466068268,0.10529037564992905,0.0002,0.9548167586326599,0.4992174804210663,0.5277166366577148,0.11128689348697662
12,0.9071025848388672,0.4464917480945587,0.43649664521217346,0.10484252870082855,0.0002,0.9566404819488525,0.5309370756149292,0.5355334281921387,0.10725552588701248
13,0.9079737067222595,0.4472573399543762,0.4365885555744171,0.10365356504917145,0.0002,0.9565401673316956,0.5192722678184509,0.5347512364387512,0.10825911909341812
14,0.9070524573326111,0.4474773108959198,0.43703731894493103,0.10402468591928482,0.0002,0.9558899998664856,0.5312694907188416,0.531429648399353,0.11126135289669037
15,0.9078396558761597,0.45711377263069153,0.44499537348747253,0.10132227092981339,4e-05,0.9573712348937988,0.5384615063667297,0.5400260090827942,0.10740641504526138
16,0.9074739217758179,0.4515901207923889,0.4397072196006775,0.10178801417350769,4e-05,0.9568459987640381,0.5342918634414673,0.5454387068748474,0.10883602499961853
17,0.9076838493347168,0.4556567072868347,0.4445887804031372,0.10098918527364731,4e-05,0.9573911428451538,0.5434583425521851,0.5451988577842712,0.10757943987846375
18,0.9062933921813965,0.45483046770095825,0.44186723232269287,0.10249688476324081,4e-05,0.9571831226348877,0.5369584560394287,0.5408639907836914,0.10859721899032593
19,0.9077610969543457,0.4581378102302551,0.44554072618484497,0.1007281094789505,4e-05,0.957179844379425,0.5458213686943054,0.54688560962677,0.10930939763784409
20,0.9079205989837646,0.4587211608886719,0.4459042251110077,0.10025578737258911,4e-05,0.9567952752113342,0.5343310832977295,0.5463709235191345,0.11046744883060455
21,0.9072867035865784,0.45654162764549255,0.44499221444129944,0.10071469843387604,4e-05,0.9572216272354126,0.5326209664344788,0.5415864586830139,0.10852135717868805
22,0.9081429243087769,0.4616745114326477,0.44914084672927856,0.09950179606676102,4e-05,0.9573010802268982,0.5452947020530701,0.5484656095504761,0.10812228918075562
23,0.9079595804214478,0.4609704315662384,0.4477512836456299,0.09920448064804077,8e-06,0.9575796127319336,0.5420117974281311,0.5445225834846497,0.10737979412078857
24,0.9081279635429382,0.4606653153896332,0.4481068551540375,0.09978149086236954,8e-06,0.9573467373847961,0.5453676581382751,0.5441766381263733,0.10799039155244827
25,0.9075038433074951,0.45965176820755005,0.44595280289649963,0.1002851352095604,8e-06,0.9572742581367493,0.5408632755279541,0.5420803427696228,0.10791736841201782
26,0.9073278903961182,0.46150830388069153,0.44933512806892395,0.10002300143241882,8e-06,0.9575353264808655,0.5422306060791016,0.5415244698524475,0.10767216980457306
27,0.9072786569595337,0.4615068733692169,0.44799885153770447,0.09979063272476196,8e-06,0.9571478962898254,0.5419609546661377,0.5441932082176208,0.10867241770029068
